2,5,0,0,0,1,18549,396
3,6,1,0,0,0,32767,538
4,5,0,0,0,1,32767,550
5,6,1,0,0,0,32767,556
6,6,1,0,0,0,32767,563
7,6,1,0,0,0,18572,569
8,5,0,0,0,1,32767,679
9,5,0,0,0,1,18595,693
10,6,1,0,0,0,32767,699
11,5,0,0,0,1,32767,707
12,6,1,0,0,0,32767,716
13,5,0,0,0,1,32767,722
14,5,0,0,0,1,32767,729
15,6,1,0,0,0,32767,735
16,6,0,1,0,0,32767,743
17,6,1,0,0,0,1902,749
18,5,0,0,0,1,1908,756
19,6,0,1,0,0,19015,762
20,5,0,0,0,1,19022,769
21,5,0,0,0,1,1920,867
22,5,0,0,0,1,19246,914
23,6,1,0,0,0,1931,928
24,5,0,0,0,1,1938,936
25,6,1,0,0,0,19314,942
26,6,1,0,0,0,19322,949
27,5,0,0,0,1,19328,955
28,6,0,1,0,0,19335,962
29,6,1,0,0,0,19341,968
30,6,0,1,0,0,19347,975
31,5,0,0,0,1,19355,983
32,6,1,0,0,0,19410,997
33,6,1,0,0,0,19416,1004
34,5,0,0,0,1,19423,1010
35,5,0,0,0,1,19429,1017
36,6,1,0,0,0,19436,1023
37,5,0,0,0,1,19444,1031
38,6,1,0,0,0,19717,1185
39,5,0,0,0,1,19726,1194
40,6,1,0,0,0,19748,1215
41,5,0,0,0,1,19754,1221
42,6,1,0,0,0,1980,1228
43,6,1,0,0,0,1987,1234
44,5,0,0,0,1,19813,1241
45,6,1,0,0,0,19820,1248
46,6,1,0,0,0,19827,1254
47,5,0,0,0,1,19833,1261
48,6,1,0,0,0,19840,1267
49,5,0,0,0,1,19847,1274
50,5,0,0,0,1,19853,1281
51,5,0,0,0,1,1991,1288
52,6,1,0,0,0,19925,1313
53,6,1,0,0,0,19931,1319
54,5,0,0,0,1,19938,1326
55,5,0,0,0,1,32767,412
56,6,0,1,0,0,10210,425
57,6,1,0,0,0,10217,432
58,6,1,0,0,0,10515,874
59,6,1,0,0,0,32767,1340
60,5,0,0,0,1,32767,1593
60,6,0,1,0,0,11428,1613
61,6,1,0,0,0,32767,1985
62,5,0,0,0,1,11524,2209
63,6,1,0,0,0,32767,2250
64,5,0,0,0,1,32767,2298
65,5,0,0,0,1,32767,2357
65,5,0,0,0,1,11563,2448
66,5,0,0,0,1,32767,2517
67,6,0,1,0,0,32767,2536
67,6,0,1,0,0,32767,2635
68,5,0,0,0,1,12158,2803
68,5,0,0,0,1,12210,2815
69,5,0,0,0,1,12832,3197
70,5,0,0,0,1,1292,3227
70,5,0,0,0,1,12938,3263
71,6,0,1,0,0,32767,3311
71,6,0,1,0,0,32767,3399
72,5,0,0,0,1,32767,3539
73,5,0,0,0,1,32767,3579
74,6,0,1,0,0,12161,3645
75,6,1,0,0,0,32767,3690
76,6,1,0,0,0,32767,3698
77,5,0,0,0,1,12170,3705
78,6,1,0,0,0,32767,3818
78,5,0,0,0,1,12207,3892
79,5,0,0,0,1,32767,4240
80,5,0,0,0,1,32767,4650
81,6,1,0,0,0,32767,4657
82,6,1,0,0,0,32767,4742
83,5,0,0,0,1,32767,246
84,5,0,0,0,1,14560,262
85,5,0,0,0,1,32767,379
86,6,1,0,0,0,14585,388
87,6,1,0,0,0,32767,394
88,6,1,0,0,0,32767,407
89,5,0,0,0,1,32767,416
90,6,1,0,0,0,32767,422
91,5,0,0,0,1,32767,435
92,6,1,0,0,0,32767,475
93,6,1,0,0,0,32767,483
94,5,0,0,0,1,32767,489
95,5,0,0,0,1,32767,496
96,5,0,0,0,1,1500,503
97,5,0,0,0,1,1508,511
98,6,1,0,0,0,15017,519
99,5,0,0,0,1,32767,661
100,6,1,0,0,0,17214,814
101,6,1,0,0,0,17223,822
102,5,0,0,0,1,17230,830
103,5,0,0,0,1,17239,839
104,6,1,0,0,0,17250,850
104,6,0,1,0,0,17649,1089
